subject,gender,scenario,attitude,total_duration,f0mn,hiss_count
F1,F,1,pol,18.392,214.6,2
F1,F,1,inf,13.551,210.9,0
F1,F,2,pol,5.217,284.7,0
F1,F,2,inf,4.247,265.6,0
F1,F,3,pol,6.791,210.6,0
F1,F,3,inf,4.126,285.6,0
F1,F,4,pol,6.244,251.5,1
F1,F,4,inf,3.245,281.5,0
F1,F,5,pol,5.625,229.6,1
F1,F,5,inf,3.95,250.5,0
F1,F,6,pol,28.508,181.1,1
F1,F,6,inf,55.159,229.3,0
F1,F,7,inf,60.309,219.8,2
F1,F,7,pol,40.825,175.8,0
F2,F,1,pol,7.262,232.7,0
F2,F,1,inf,7.926,231.3,0
F2,F,2,pol,5.953,246.3,0
F2,F,2,inf,3.863,259.7,0
F2,F,3,pol,4.821,289.4,0
F2,F,3,inf,3.393,301.8,0
F2,F,4,pol,5.424,243.2,0
F2,F,4,inf,4.623,296.2,0
F2,F,5,pol,3.866,277.7,0
F2,F,5,inf,2.601,294.2,0
F2,F,6,pol,30.832,208,0
F2,F,6,inf,39.69,225.9,0
F2,F,7,inf,52.872,281,0
F2,F,7,pol,45.755,227.2,0
F3,F,1,pol,16.455,229.3,0
F3,F,1,inf,8.163,236.7,0
F3,F,2,pol,21.739,240.8,0
F3,F,2,inf,6.832,248.9,0
F3,F,3,pol,11.427,266.8,0
F3,F,3,inf,5.755,264.4,0
F3,F,4,pol,4.948,275.3,0
F3,F,4,inf,4.741,307.3,0
F3,F,5,pol,4.055,231,0
F3,F,5,inf,5.51,253.5,0
F3,F,6,pol,32.358,224.7,0
F3,F,6,inf,42.925,278.6,0
F3,F,7,inf,49.499,265.5,0
F3,F,7,pol,55.778,191.1,0
F4,F,1,pol,22.935,113.3,1
F4,F,1,inf,7.36,213.6,1
F4,F,2,pol,12.204,202.1,0
F4,F,2,inf,4.716,253.6,0
F4,F,3,pol,8.02,194.8,0
F4,F,3,inf,2.4,NA,0
F4,F,4,pol,2.731,268.7,0
F4,F,4,inf,2.202,NA,0
F4,F,5,pol,11.521,227.1,1
F4,F,5,inf,8.335,193.1,0
F4,F,6,pol,44.487,205.2,1
F4,F,6,inf,82.439,237.5,1
F4,F,7,inf,79.785,220.4,0
F4,F,7,pol,82.358,NA,1
F5,F,1,pol,30.083,273.6,4
F5,F,1,inf,12.666,257.1,0
F5,F,2,pol,14.821,407.3,0
F5,F,2,inf,11.816,356,2
F5,F,3,pol,27.339,257.1,4
F5,F,3,inf,7.628,415.8,0
F5,F,4,pol,19.307,217.8,2
F5,F,4,inf,6.158,323.5,0
F5,F,5,pol,7.819,402.2,1
F5,F,5,inf,6.251,257.1,2
F5,F,6,pol,57.513,240.2,2
F5,F,6,inf,81.674,267.9,3
F5,F,7,inf,74.429,259.9,4
F5,F,7,pol,87.999,253.7,4
F6,F,1,pol,15.172,218.8,0
F6,F,1,inf,4.189,232.9,0
F6,F,2,pol,6.626,189.8,0
F6,F,2,inf,5.443,229.2,0
F6,F,3,pol,10.47,212.4,0
F6,F,3,inf,4.571,205.8,0
F6,F,4,pol,7.886,215.5,0
F6,F,4,inf,1.606,NA,0
F6,F,5,pol,9.056,236.7,0
F6,F,5,inf,0.988,NA,0
F6,F,6,pol,34.43,189.1,0
F6,F,6,inf,51.139,272.8,0
F6,F,7,inf,62.365,209.2,0
F6,F,7,pol,43.669,286.1,0
F7,F,1,pol,14.292,250.6,0
F7,F,1,inf,14.142,229.8,1
F7,F,2,pol,13.295,202.4,1
F7,F,2,inf,13.738,236.2,1
F7,F,3,pol,7.441,248.7,1
F7,F,3,inf,7.908,240.5,1
F7,F,4,pol,5.13,276.4,0
F7,F,4,inf,2.905,240.8,0
F7,F,5,pol,7.759,241.5,0
F7,F,5,inf,7.514,248.8,0
F7,F,6,pol,31.615,236.2,0
F7,F,6,inf,44.055,246.6,0
F7,F,7,inf,53.154,215.5,1
F7,F,7,pol,59.593,231.9,2
F8,F,1,pol,21.985,229.8,0
F8,F,1,inf,9.562,240.2,0
F8,F,2,pol,9.874,227.1,0
F8,F,2,inf,7.222,241.5,0
F8,F,3,pol,11.209,215.8,0
F8,F,3,inf,4.565,253.8,0
F8,F,4,pol,6.743,242.9,0
F8,F,4,inf,4.291,245.3,0
F8,F,5,pol,4.516,217.2,0
F8,F,5,inf,5.502,275.4,0
F8,F,6,pol,32.468,279.1,0
F8,F,6,inf,45.06,212.3,0
F8,F,7,inf,65.081,213.7,0
F8,F,7,pol,57.779,227.7,1
F9,F,1,pol,12.615,207.5,0
F9,F,1,inf,14.753,319.7,0
F9,F,2,pol,20.562,222.8,0
F9,F,2,inf,3.516,338.3,0
F9,F,3,pol,5.794,220.4,0
F9,F,3,inf,5.453,262.2,0
F9,F,4,pol,3.312,288.2,0
F9,F,4,inf,2.476,256.4,0
F9,F,5,pol,2.763,283.3,0
F9,F,5,inf,3.213,267.5,0
F9,F,6,pol,34.235,244.7,0
F9,F,6,inf,52.373,210.7,0
F9,F,7,inf,54.93,252.1,0
F9,F,7,pol,48.043,279.6,0
M1,M,1,pol,18.479,108.3,2
M1,M,1,inf,17.646,147.4,0
M1,M,2,pol,10.065,141,2
M1,M,2,inf,7.191,146,0
M1,M,3,pol,10.248,153.3,3
M1,M,3,inf,5.568,225,0
M1,M,4,pol,7.119,145.6,0
M1,M,4,inf,4.889,185.6,0
M1,M,5,pol,8.747,162.2,0
M1,M,5,inf,10.491,142.7,0
M1,M,6,pol,26.87,138,5
M1,M,6,inf,39.268,156.9,1
M1,M,7,inf,50.601,138.7,1
M1,M,7,pol,41.251,179.9,0
M2,M,1,pol,28.866,111.7,0
M2,M,1,inf,7.911,124.5,0
M2,M,2,pol,11.43,120.5,0
M2,M,2,inf,1.461,NA,0
M2,M,3,pol,2.643,NA,0
M2,M,3,inf,1.746,NA,0
M2,M,4,pol,3.577,134.9,0
M2,M,4,inf,1.328,NA,0
M2,M,5,pol,5.467,131.8,0
M2,M,5,inf,4.563,133.2,0
M2,M,6,pol,56.971,109.2,1
M2,M,6,inf,53.002,103,0
M2,M,7,inf,43.211,136.3,2
M2,M,7,pol,53.225,117.2,0
M3,M,1,pol,74.131,153.8,5
M3,M,1,inf,49.337,188.8,0
M3,M,2,pol,32.03,142.4,2
M3,M,2,inf,27.526,199.7,0
M3,M,3,pol,31.084,160.2,2
M3,M,3,inf,26.795,186.1,1
M3,M,4,pol,6.74,207.5,0
M3,M,4,inf,11.321,190.9,1
M3,M,5,pol,26.802,160.7,1
M3,M,5,inf,13.743,156.5,0
M3,M,6,pol,64.354,146.7,0
M3,M,6,inf,82.788,158,1
M3,M,7,inf,98.877,161.1,1
M3,M,7,pol,101.375,153.3,1
M4,M,1,pol,27.717,111.3,2
M4,M,1,inf,17.613,123.1,0
M4,M,2,pol,8.181,229.2,0
M4,M,2,inf,7.744,115.5,0
M4,M,3,pol,15.498,124.6,0
M4,M,3,inf,4.576,213.5,0
M4,M,4,pol,8.786,193.3,0
M4,M,4,inf,10.382,165,1
M4,M,5,pol,12.166,101.2,1
M4,M,5,inf,6.03,127,0
M4,M,6,pol,35.443,NA,1
M4,M,6,inf,74.374,137.4,0
M4,M,7,inf,75.818,145.1,0
M4,M,7,pol,70.106,168,1
M5,M,1,pol,44.042,87.7,0
M5,M,1,inf,18.807,100.1,0
M5,M,2,pol,19.752,90,0
M5,M,2,inf,12.722,108.1,0
M5,M,3,pol,17.383,96.8,0
M5,M,3,inf,10.663,139.2,0
M5,M,4,pol,13.504,86.5,0
M5,M,4,inf,10.379,99.5,0
M5,M,5,pol,19.188,92.8,0
M5,M,5,inf,13.68,93.2,0
M5,M,6,pol,65.153,86.8,0
M5,M,6,inf,91.133,117.3,0
M5,M,7,inf,97.221,94.2,0
M5,M,7,pol,98.848,109.2,0
M6,M,1,pol,14.753,NA,2
M6,M,1,inf,15.334,107.4,0
M6,M,2,pol,15.658,NA,1
M6,M,2,inf,4.751,106.4,0
M6,M,3,pol,13.833,104.6,1
M6,M,3,inf,9.716,131.3,0
M6,M,4,pol,6.325,118.5,1
M6,M,4,inf,5.011,157.4,0
M6,M,5,pol,11.957,116.5,0
M6,M,5,inf,13.445,113.2,0
M6,M,6,pol,41.089,114.7,2
M6,M,6,inf,35.872,110.5,0
M6,M,7,inf,62.985,125,0
M6,M,7,pol,82.012,108,1
M7,M,1,pol,21.639,87,2
M7,M,1,inf,20.9,98.8,1
M7,M,2,pol,16.859,80.8,1
M7,M,2,inf,8.484,118.7,0
M7,M,3,pol,11.025,86.3,0
M7,M,3,inf,8.982,111.2,0
M7,M,4,pol,7.42,102.1,1
M7,M,4,inf,6.087,135,0
M7,M,5,pol,9.499,92.6,0
M7,M,5,inf,4.942,103.2,0
M7,M,6,pol,54.569,108.7,0
M7,M,6,inf,66.39,107.7,0
M7,M,7,inf,56.038,123.2,0
M7,M,7,pol,49.845,107.4,0
