"trial.type","pas","trial","jitter.x","jitter.y","odd.digit","target.contrast","target.frames","cue","task","target.type","rt.subj","rt.obj","even.digit","seed","obj.resp","subject"
"staircase",1,0,0.164853473573,0.170379957,3,1,3,0,"quadruplet","even",5.80669570234,18.3144260401,6,52271,"e","025"
"staircase",4,1,0.153164617188,-0.0869497754573,5,1,3,0,"quadruplet","even",2.3485444408,1.76452393972,8,52271,"e","025"
"staircase",4,2,0.256712328882,-0.0229161888178,5,0.9,3,0,"quadruplet","odd",1.3757017392,1.34429208776,4,52271,"o","025"
"staircase",4,3,0.478017014032,0.136076088771,7,0.9,3,0,"quadruplet","odd",1.74736807166,1.43027502907,8,52271,"o","025"
"staircase",4,4,0.489806586188,-0.496523136243,9,0.8,3,0,"quadruplet","odd",1.39503802036,1.7277303241,8,52271,"o","025"
"staircase",4,5,0.352664561139,-0.355664188179,3,0.8,3,0,"quadruplet","even",1.06977869423,0.879917820463,4,52271,"e","025"
"staircase",4,6,-0.151745020972,-0.0329152785592,5,0.5,3,0,"quadruplet","odd",1.04988293796,1.00539559852,8,52271,"o","025"
"staircase",4,7,-0.129802930997,-0.215212993494,5,0.5,3,0,"quadruplet","even",0.949824150301,0.750473415181,4,52271,"e","025"
"staircase",4,8,-0.183843058605,0.490632795827,9,0.3,3,0,"quadruplet","odd",0.688588281751,0.780639902654,6,52271,"o","025"
"staircase",4,9,-0.13868144484,0.164933150281,3,0.3,3,0,"quadruplet","odd",1.71037222376,1.48026404488,4,52271,"o","025"
"staircase",4,10,0.351589645518,0.264563530988,9,0.2,3,0,"quadruplet","even",1.11624045043,0.843011283261,8,52271,"e","025"
"staircase",4,11,-0.301939533433,0.387456130112,3,0.2,3,0,"quadruplet","even",0.775011617236,0.7554984256,4,52271,"e","025"
"staircase",3,12,-0.261372729277,-0.362908264678,3,0.05,3,19,"pairs","odd",0.59992533488,3.0027888209,4,52271,"o","025"
"staircase",4,13,-0.155379624011,0.498915747459,3,0.05,3,19,"pairs","odd",0.528669078854,1.59226172348,4,52271,"o","025"
"staircase",2,14,-0.0964873971144,-0.427613562936,7,0.01,3,19,"pairs","even",1.27045950872,2.84839182557,4,52271,"e","025"
"staircase",2,15,0.385376748322,-0.123962398125,3,0.01,3,19,"pairs","even",1.43497119815,2.38625101031,6,52271,"o","025"
"staircase",4,16,-0.335894718395,-0.00465511965526,7,0.1,3,19,"pairs","odd",0.798700512116,1.37864967687,6,52271,"o","025"
"staircase",4,17,0.196822419521,-0.295820102134,7,0.1,3,19,"pairs","even",1.17110870516,1.07715213138,6,52271,"e","025"
"staircase",1,18,0.21003863991,0.388566052058,7,0.0344400124562,3,19,"pairs","even",1.71582736275,1.58359345219,6,52271,"e","025"
"staircase",1,19,-0.27608981177,-0.272146095787,3,0.028632763523,3,19,"pairs","odd",1.19592681586,2.19896577518,4,52271,"o","025"
"staircase",1,20,0.273542601216,-0.443135417308,7,0.0242155292229,3,19,"pairs","even",0.766834725919,1.16698569865,6,52271,"e","025"
"staircase",2,21,0.151184775391,0.108829000003,7,0.0208508801155,3,19,"pairs","odd",1.31507722125,1.62991320094,6,52271,"o","025"
"staircase",2,22,0.382246157633,0.0374943812588,7,0.0183062553457,3,19,"pairs","even",0.688711811119,1.68633292978,6,52271,"e","025"
"staircase",1,23,-0.375296423061,-0.414132442163,7,0.0163406761343,3,19,"pairs","odd",0.546868273896,1.41795973285,6,52271,"o","025"
"staircase",3,24,-0.177736575977,-0.139245942662,5,0.0148050874455,3,9,"singles","odd",0.845825083785,2.42064213371,6,52271,"e","025"
"staircase",3,25,-0.406956741649,-0.396833025083,5,0.0192898411017,3,9,"singles","odd",1.06617136295,1.05272616653,6,52271,"o","025"
"staircase",3,26,-0.429716012766,-0.28048466054,5,0.0178579639411,3,9,"singles","even",0.850136635114,1.17033399467,6,52271,"e","025"
"staircase",2,27,0.1405770657,0.283918956636,5,0.0167788890035,3,9,"singles","even",1.18779988379,1.85415972313,6,52271,"e","025"
"staircase",2,28,0.0991521099494,0.163330603809,5,0.0159310747333,3,9,"singles","odd",0.771847075433,1.14853773394,6,52271,"o","025"
"staircase",2,29,-0.394400468116,0.432340905635,5,0.0152445680491,3,9,"singles","odd",0.649543420401,1.4402230783,6,52271,"e","025"
"staircase",2,30,0.225772591322,-0.357832955077,5,0.0172077861425,3,9,"singles","even",0.7191031152,1.59066952917,6,52271,"o","025"
"staircase",3,31,0.068515705298,-0.367420566631,5,0.0199266603162,3,9,"singles","even",0.573624871766,1.09143260532,6,52271,"e","025"
"staircase",2,32,-0.280152056416,0.177086958694,5,0.0189145321259,3,9,"singles","odd",0.498292146613,1.73496346473,6,52271,"e","025"
"staircase",2,33,-0.286624899924,-0.252566059705,5,0.0219343250143,3,9,"singles","even",1.33978583224,2.13631380155,6,52271,"e","025"
"staircase",2,34,0.387296613829,0.0107215768975,5,0.0207612142455,3,9,"singles","even",0.787899049474,1.11326650657,6,52271,"o","025"
"staircase",2,35,-0.108105890612,0.0357700799888,5,0.0242532483476,3,9,"singles","odd",0.861431530855,1.66754551595,6,52271,"e","025"
"staircase",2,36,0.318485642071,-0.308213801748,7,0.029872586711,3,5,"pairs","odd",0.600559064489,1.52148110685,4,52271,"o","025"
"staircase",3,37,-0.123012475231,0.193193417883,9,0.0275297944285,3,5,"pairs","odd",0.530725278215,2.02950025014,2,52271,"o","025"
"staircase",1,38,0.110690104443,-0.334277468121,9,0.0259077232527,3,5,"pairs","even",1.16557520543,1.81255496372,2,52271,"e","025"
"staircase",2,39,0.368086588674,-0.29599994624,7,0.024714672484,3,5,"pairs","even",0.583043900489,1.79063038302,2,52271,"o","025"
"staircase",2,40,-0.445589598702,0.150134652215,9,0.0280842975117,3,5,"pairs","even",0.525787867567,1.37761661549,2,52271,"o","025"
"staircase",3,41,-0.0426856458215,0.310999847243,7,0.0337113002883,3,5,"pairs","odd",0.558203205468,1.98596453167,4,52271,"o","025"
"staircase",3,42,0.449442927217,0.064736044358,9,0.0314129643698,3,5,"pairs","even",0.58143425466,2.10640155873,4,52271,"o","025"
"staircase",3,43,-0.463055358851,0.413205521321,9,0.038230229756,3,5,"pairs","odd",0.428393344881,1.27039107139,2,52271,"o","025"
"staircase",4,44,0.414578813312,0.354141020575,9,0.0354335011637,3,5,"pairs","odd",0.362139857143,0.888021483845,4,52271,"o","025"
"staircase",4,45,-0.325638737619,0.256389354003,7,0.0335045448772,3,5,"pairs","even",0.962429620769,1.41757374635,4,52271,"e","025"
"staircase",3,46,-0.291867921219,0.188729368025,7,0.0320767268314,3,5,"pairs","even",0.491793338448,1.44629210008,2,52271,"o","025"
"staircase",4,47,0.44983635011,-0.218312374683,9,0.0362992473764,3,5,"pairs","odd",1.34145775604,0.950135882305,4,52271,"o","025"
"staircase",4,48,-0.413512113383,-0.060358255575,7,0.0346284539398,3,0,"quadruplet","odd",0.331552822321,1.43053474871,8,52271,"o","025"
"staircase",4,49,0.11225474228,-0.0273465480637,7,0.0333732416144,3,0,"quadruplet","even",0.420653768057,0.949337903123,8,52271,"o","025"
"staircase",4,50,-0.320577971111,0.0528997669295,7,0.0368769673212,3,0,"quadruplet","odd",0.34552840799,1.21673278853,6,52271,"o","025"
"staircase",4,51,-0.262742521707,0.103734715934,9,0.0354219346135,3,0,"quadruplet","even",0.597474936541,1.27154355591,4,52271,"e","025"
"staircase",4,52,0.265837829656,0.241231404993,3,0.0343148584239,3,0,"quadruplet","odd",1.32289447444,1.13572797807,8,52271,"o","025"
"staircase",3,53,-0.122614857035,0.388169339287,7,0.0334169725897,3,0,"quadruplet","even",0.492604662908,0.984575938395,8,52271,"o","025"
"staircase",3,54,-0.158410621559,0.375351439831,7,0.0358838230974,3,0,"quadruplet","odd",0.173846198068,1.60113804424,4,52271,"o","025"
"staircase",3,55,-0.183887702631,-0.417217472091,5,0.0348917323966,3,0,"quadruplet","even",0.394850844277,1.46506616863,6,52271,"e","025"
"staircase",4,56,-0.0227574825369,-0.224736453883,5,0.034077978454,3,0,"quadruplet","even",0.546176714748,1.31146167749,8,52271,"o","025"
"staircase",3,57,0.450249235857,-0.0123569350538,5,0.0363564604062,3,0,"quadruplet","even",0.324845964697,1.56493435834,8,52271,"e","025"
"staircase",3,58,0.447323056357,0.294899023199,3,0.0354454923468,3,0,"quadruplet","odd",0.251900675545,2.04243490413,4,52271,"o","025"
"staircase",3,59,-0.269117724618,-0.135051853621,7,0.0346919459763,3,0,"quadruplet","odd",0.325520756696,1.10307105642,4,52271,"o","025"
"staircase",3,60,0.294615679677,-0.213396396253,3,0.0340583846,3,12,"singles","odd",0.710241166282,1.46038539794,8,52271,"o","025"
"staircase",3,61,0.21193899365,-0.342707652127,3,0.0335061188747,3,12,"singles","even",0.385948175153,1.27593312579,8,52271,"e","025"
"staircase",4,62,0.0344691745221,-0.382072647775,3,0.0330080133589,3,12,"singles","odd",0.739170991335,1.3124355406,8,52271,"e","025"
"staircase",4,63,-0.292364583792,0.118312140515,3,0.0344447868096,3,12,"singles","even",0.390810304743,1.17870079955,8,52271,"e","025"
"staircase",4,64,0.0245600307892,0.329244420204,3,0.0339125820427,3,12,"singles","odd",0.543007040147,1.10832670062,8,52271,"o","025"
"staircase",4,65,0.0194977102769,-0.346732140275,3,0.0334550019102,3,12,"singles","even",0.330961181666,0.982953631661,8,52271,"e","025"
"staircase",4,66,0.312719417333,0.147515851678,3,0.0330308380672,3,12,"singles","odd",0.283590235636,0.98360241748,8,52271,"o","025"
"staircase",4,67,-0.0936420387418,-0.375558543172,3,0.0326540154898,3,12,"singles","even",0.307846133735,0.987568702518,8,52271,"e","025"
"staircase",4,68,-0.496106112437,-0.307114356157,3,0.0322973790521,3,12,"singles","even",0.251257364711,1.76327324765,8,52271,"e","025"
"staircase",4,69,-0.166193395438,0.284777439018,3,0.0319787689289,3,12,"singles","odd",0.317270979633,1.21257795867,8,52271,"o","025"
"staircase",4,70,0.293613047955,0.121188427777,3,0.0316703165981,3,12,"singles","odd",0.203979493439,0.90543193874,8,52271,"o","025"
"staircase",4,71,0.254116368288,0.0392167381677,3,0.0313917287974,3,12,"singles","even",0.367014305453,1.08481882245,8,52271,"e","025"
"staircase",3,72,0.399547371459,0.321668363815,7,0.0311251014338,3,0,"quadruplet","odd",0.420897404925,1.31418787824,6,52271,"o","025"
"experiment",4,0,0.399495263096,0.0116638267334,5,0.0308669903529,3,0,"quadruplet","odd",0.269085971649,0.965292353976,2,52271,"o","025"
"experiment",3,1,0.187141578665,0.395745281739,9,0.0308669903529,3,0,"quadruplet","even",0.339451858108,1.53624645922,6,52271,"o","025"
"experiment",2,2,-0.197218180521,-0.414205108879,9,0.0308669903529,3,0,"quadruplet","odd",0.267584798976,1.18358722439,8,52271,"o","025"
"experiment",3,3,0.141039164991,-0.455170596236,9,0.0308669903529,3,0,"quadruplet","even",0.255996991496,1.06240251959,2,52271,"e","025"
"experiment",3,4,0.475880732932,-0.227428409946,7,0.0308669903529,3,0,"quadruplet","even",0.237383750653,2.54159620474,2,52271,"e","025"
"experiment",1,5,-0.342570975747,0.492127155711,7,0.0308669903529,3,0,"quadruplet","odd",0.411874970487,1.50130133569,2,52271,"e","025"
"experiment",1,6,-0.262995077588,0.351047851724,5,0.0308669903529,3,0,"quadruplet","even",0.427577914181,1.06964181959,2,52271,"e","025"
"experiment",2,7,-0.419475027849,-0.266020347163,7,0.0308669903529,3,0,"quadruplet","odd",0.684951522422,1.54948839679,6,52271,"o","025"
"experiment",3,8,0.443346344243,-0.0109911707208,3,0.0308669903529,3,0,"quadruplet","odd",0.318640752646,1.29623916381,4,52271,"o","025"
"experiment",2,9,0.24148813739,0.384816263719,5,0.0308669903529,3,0,"quadruplet","even",0.359893402027,1.45034393177,4,52271,"e","025"
"experiment",3,10,0.0418707497387,0.326738416189,9,0.0308669903529,3,0,"quadruplet","odd",0.601292028216,1.99277233435,6,52271,"e","025"
"experiment",2,11,-0.317595910199,-0.0264110020827,5,0.0308669903529,3,0,"quadruplet","even",0.303102400712,0.732137345494,8,52271,"o","025"
"experiment",2,12,-0.177336287784,0.381130236253,9,0.0308669903529,3,8,"pairs","odd",0.231240474381,1.20279826525,6,52271,"e","025"
"experiment",2,13,0.055743698098,0.241359376501,3,0.0308669903529,3,8,"pairs","odd",0.397406293907,0.577532300706,2,52271,"e","025"
"experiment",2,14,-0.347672241707,-0.170210482264,9,0.0308669903529,3,8,"pairs","even",0.311520191404,1.08535673981,2,52271,"o","025"
"experiment",2,15,-0.230055149696,-0.330049052913,9,0.0308669903529,3,8,"pairs","even",0.510228642252,0.997935930349,2,52271,"o","025"
"experiment",2,16,-0.00815343487121,0.483578578645,9,0.0308669903529,3,8,"pairs","odd",0.263794397857,0.979761372744,2,52271,"o","025"
"experiment",2,17,0.424729827012,0.00373817069273,3,0.0308669903529,3,8,"pairs","even",0.150422155626,0.990258973672,6,52271,"o","025"
"experiment",2,18,0.0737977981875,0.23939488454,9,0.0308669903529,3,8,"pairs","even",0.165619689693,0.730638225939,2,52271,"o","025"
"experiment",2,19,0.208941542205,-0.235728691988,3,0.0308669903529,3,8,"pairs","odd",0.224079877305,1.28593660925,2,52271,"e","025"
"experiment",2,20,-0.322158753804,-0.0442893704405,3,0.0308669903529,3,8,"pairs","even",0.235209839097,1.34777178343,6,52271,"e","025"
"experiment",3,21,0.476776815846,0.232205127262,3,0.0308669903529,3,8,"pairs","even",0.277545851295,1.10318329363,6,52271,"o","025"
"experiment",3,22,-0.0137271219895,0.289661846992,3,0.0308669903529,3,8,"pairs","odd",0.188211192104,0.917534737075,6,52271,"o","025"
"experiment",2,23,0.0978476730937,0.238597216433,3,0.0308669903529,3,8,"pairs","odd",0.259940692215,0.964122075758,2,52271,"o","025"
"experiment",3,24,-0.291549341089,0.32958745526,5,0.0308669903529,3,9,"singles","even",0.348531779897,1.36470009739,6,52271,"e","025"
"experiment",4,25,0.33285553478,0.311378741638,5,0.0308669903529,3,9,"singles","odd",0.412219894593,0.925453961871,6,52271,"o","025"
"experiment",4,26,-0.443457999448,0.399138720697,5,0.0308669903529,3,9,"singles","even",0.282486683809,0.900179716411,6,52271,"o","025"
"experiment",4,27,0.29861001206,0.349522985091,5,0.0308669903529,3,9,"singles","odd",0.290656389205,1.30017910047,6,52271,"e","025"
"experiment",4,28,-0.077577245734,0.234937228779,5,0.0308669903529,3,9,"singles","odd",0.43773093319,1.18570159548,6,52271,"o","025"
"experiment",2,29,-0.289247778696,-0.495754758809,5,0.0308669903529,3,9,"singles","even",0.308004566139,1.18774376519,6,52271,"e","025"
"experiment",3,30,0.225719395181,-0.0358578669542,5,0.0308669903529,3,9,"singles","even",0.348405855222,1.717298423,6,52271,"o","025"
"experiment",3,31,0.0891851446275,0.189564091509,5,0.0308669903529,3,9,"singles","odd",0.333121405756,1.35355268408,6,52271,"o","025"
"experiment",2,32,0.1527682013,-0.499949190815,5,0.0308669903529,3,9,"singles","odd",0.56343694972,0.948151542132,6,52271,"o","025"
"experiment",2,33,-0.229335422586,0.476374351496,5,0.0308669903529,3,9,"singles","odd",0.354312338359,1.13510451406,6,52271,"o","025"
"experiment",3,34,-0.478144692144,0.281694840477,5,0.0308669903529,3,9,"singles","even",0.324835699097,1.14936787867,6,52271,"e","025"
"experiment",2,35,-0.434963986089,-0.230937257225,5,0.0308669903529,3,9,"singles","even",0.390355196549,1.20981822363,6,52271,"o","025"
"experiment",3,36,-0.173870096909,0.0927111571027,3,0.0308669903529,3,24,"pairs","even",0.508716519606,2.17253596552,4,52271,"e","025"
"experiment",2,37,0.425719352457,-0.233561600764,5,0.0308669903529,3,24,"pairs","odd",0.313732085675,1.52273761609,8,52271,"o","025"
"experiment",2,38,0.019296151874,-0.472396168147,3,0.0308669903529,3,24,"pairs","even",0.210911509857,1.39832985558,4,52271,"o","025"
"experiment",3,39,0.0350029336435,0.146006045831,5,0.0308669903529,3,24,"pairs","odd",1.05318332785,1.6085111392,4,52271,"o","025"
"experiment",2,40,-0.343644678322,0.467081461425,5,0.0308669903529,3,24,"pairs","even",0.379271772137,0.959705130952,4,52271,"o","025"
"experiment",2,41,-0.179089803243,-0.4677597503,5,0.0308669903529,3,24,"pairs","odd",0.21374139315,1.34242340666,4,52271,"o","025"
"experiment",3,42,0.186443913888,-0.124092746831,3,0.0308669903529,3,24,"pairs","odd",0.676785238891,0.55342662253,4,52271,"o","025"
"experiment",2,43,-0.154894423462,0.366969440833,5,0.0308669903529,3,24,"pairs","even",0.667856563585,0.540665457152,4,52271,"o","025"
"experiment",2,44,0.141617434096,-0.447112171042,3,0.0308669903529,3,24,"pairs","even",0.188213929596,1.05483164076,4,52271,"o","025"
"experiment",1,45,0.0345767910179,0.36925541101,5,0.0308669903529,3,24,"pairs","odd",1.07531835332,0.277593757421,4,52271,"o","025"
"experiment",3,46,-0.384945846753,-0.313200379732,5,0.0308669903529,3,24,"pairs","even",0.344545648035,1.13337510291,8,52271,"o","025"
"experiment",1,47,0.0716269316226,0.0589380141566,5,0.0308669903529,3,24,"pairs","odd",0.411090336582,0.994810740005,4,52271,"o","025"
"experiment",2,48,0.41220092524,-0.275333948974,9,0.0308669903529,3,11,"singles","even",0.528114394354,1.58000254587,6,52271,"o","025"
"experiment",2,49,0.434937936768,-0.334356706824,9,0.0308669903529,3,11,"singles","odd",0.379388457772,1.7596368305,6,52271,"e","025"
"experiment",2,50,-0.20377695948,0.239626195379,9,0.0308669903529,3,11,"singles","even",0.257175140006,1.09879919873,6,52271,"o","025"
"experiment",2,51,0.132725788326,0.414669196826,9,0.0308669903529,3,11,"singles","odd",0.275549192405,0.693281028969,6,52271,"o","025"
"experiment",2,52,0.171292248905,0.0497128893118,9,0.0308669903529,3,11,"singles","even",0.379879837748,1.77184639106,6,52271,"e","025"
"experiment",2,53,0.00159954468586,-0.417534829922,9,0.0308669903529,3,11,"singles","even",0.284519614479,1.24705257561,6,52271,"e","025"
"experiment",3,54,0.336775517604,0.405220642258,9,0.0308669903529,3,11,"singles","odd",0.279646534915,1.68534469484,6,52271,"o","025"
"experiment",3,55,0.305130688551,-0.12247322192,9,0.0308669903529,3,11,"singles","odd",0.328894716708,0.839751955767,6,52271,"o","025"
"experiment",3,56,-0.108620805006,0.260808190771,9,0.0308669903529,3,11,"singles","odd",0.305439877469,0.805032333212,6,52271,"o","025"
"experiment",3,57,-0.16117814455,0.400948545278,9,0.0308669903529,3,11,"singles","even",0.261803898326,1.1034269305,6,52271,"o","025"
"experiment",2,58,-0.0944828982629,-0.443035508193,9,0.0308669903529,3,11,"singles","odd",0.337231409172,1.07527250031,6,52271,"o","025"
"experiment",3,59,0.325717423137,0.04642580133,9,0.0308669903529,3,11,"singles","even",0.231019421828,1.01421374755,6,52271,"e","025"
"experiment",4,60,0.174665976047,-0.465527296734,7,0.0308669903529,3,0,"quadruplet","even",0.700392008985,1.46652764765,2,52271,"o","025"
"experiment",4,61,0.285040509011,0.0138516791843,9,0.0308669903529,3,0,"quadruplet","odd",0.408175591008,1.01541482256,6,52271,"o","025"
"experiment",4,62,0.0747207675433,0.0258367825377,5,0.0308669903529,3,0,"quadruplet","even",0.303421660823,0.838217590992,8,52271,"o","025"
"experiment",2,63,-0.436798019024,0.113392159231,9,0.0308669903529,3,0,"quadruplet","odd",0.511518001411,2.52017532273,8,52271,"e","025"
"experiment",4,64,-0.183448174206,0.222656853678,5,0.0308669903529,3,0,"quadruplet","even",0.437270350008,0.773534739812,6,52271,"o","025"
"experiment",4,65,-0.371566412504,-0.170316947012,7,0.0308669903529,3,0,"quadruplet","odd",0.297656158573,0.863974661766,6,52271,"o","025"
"experiment",4,66,-0.0111477851965,0.421666268063,9,0.0308669903529,3,0,"quadruplet","odd",0.260977859842,0.867353412386,4,52271,"o","025"
"experiment",4,67,-0.383951965941,-0.485497276527,3,0.0308669903529,3,0,"quadruplet","even",0.287402194512,0.626510155073,4,52271,"o","025"
"experiment",4,68,-0.256631279433,-0.402856344305,3,0.0308669903529,3,0,"quadruplet","odd",0.22790894551,0.195906626856,6,52271,"o","025"
"experiment",2,69,-0.00616728662941,-0.168342998339,3,0.0308669903529,3,0,"quadruplet","odd",0.41670767203,0.992447599252,8,52271,"e","025"
"experiment",2,70,-0.0577809035565,-0.329734536623,5,0.0308669903529,3,0,"quadruplet","even",0.252986775857,0.977057414122,6,52271,"e","025"
"experiment",1,71,-0.0714648340957,0.0453297613808,9,0.0308669903529,3,0,"quadruplet","even",0.514856716198,1.24535977843,2,52271,"o","025"
"experiment",2,72,-0.339609091375,-0.228132889517,9,0.0308669903529,3,7,"singles","odd",0.350203703691,1.02517398478,4,52271,"e","025"
"experiment",2,73,-0.383881044475,0.182699654054,9,0.0308669903529,3,7,"singles","odd",0.226009125434,1.00557695743,4,52271,"o","025"
"experiment",3,74,-0.181045548829,-0.36103480548,9,0.0308669903529,3,7,"singles","even",0.300532579246,1.10591188968,4,52271,"o","025"
"experiment",4,75,0.0435571620912,0.278639509739,9,0.0308669903529,3,7,"singles","even",0.442699140633,0.845327202262,4,52271,"o","025"
"experiment",3,76,0.207667676962,-0.401738228441,9,0.0308669903529,3,7,"singles","even",0.463100648718,1.10843414721,4,52271,"e","025"
"experiment",4,77,-0.192873010081,0.305409645418,9,0.0308669903529,3,7,"singles","odd",0.305888484119,2.08741122824,4,52271,"o","025"
"experiment",3,78,0.245178684872,-0.449885032781,9,0.0308669903529,3,7,"singles","even",0.693843583762,0.832943126532,4,52271,"e","025"
